ID,Title,Company,Location,Date Posted
Analyst,Technical Service Consultants: Early Warning & Early Response (Officer),Search for Common Ground,Nigeria,PostedPosted 5 days ago
Analyst,Legal Analyst,NASD,Lagos,PostedPosted 30+ days ago
Analyst,Operations Analyst,NoemDek,Lagos,PostedPosted 30+ days ago
Analyst,Accounts Receivable Analyst,Trustwave,Plateau,PostedPosted 2 days ago
Analyst,Social media marketing intern,ValueGate Consulting,Abuja,PostedPosted 30+ days ago
Analyst,Project Management Analyst,Main One,Lagos,PostedPosted 30+ days ago
Analyst,Quality Control Analyst,Intecil,Enugu,PostedPosted 15 days ago
Analyst,Business Analysis Instructor,Laytec,Nigeria,PostedPosted 1 day ago
Analyst,Data Analysis Instructor,Laytec,Nigeria,PostedPosted 1 day ago
Analyst,"Boston Consulting Group Recruitment for Business Analyst, Intern",Boston Consulting Group,Lagos,PostedPosted 7 days ago
Analyst,Cyber Threat Analyst,Trustwave,Plateau,PostedPosted 9 days ago
Analyst,Retail Sales Analyst (Asset Mgmt),SENCE,Lagos,PostedPosted 30+ days ago
Analyst,Paid Media & Data Analyst,Talent Hackers,Nigeria,PostedPosted 30+ days ago
Analyst,Quality Assurance and Quality Control Analyst,Fasco Ventures Ltd,Delta,PostedPosted 12 days ago
Analyst,Market Operations Analyst,NASD,Lagos,PostedPosted 30+ days ago
Analyst,Quality Assurance and Quality Control Analyst,Fasco Ventures Ltd,Delta,PostedPosted 12 days ago
Analyst,Senior Investment Analyst,Deutsche Partners Holdings,Abuja,PostedPosted 6 days ago
Analyst,Web developer intern,ValueGate Consulting,Nigeria,PostedPosted 30+ days ago
Analyst,Financial Analyst,Deputy Consulting,Nigeria,PostedPosted 15 days ago
Analyst,Market Operations Analyst,NASD,Lagos,PostedPosted 30+ days ago
Analyst,Forex Market Analyst and Trainer,TMG Consulting,Kano,PostedPosted 2 days ago
Analyst,Retail Sales Analyst (Asset Mgmt),SENCE,Lagos,PostedPosted 30+ days ago
Analyst,Analyst - Channel Support.Enterprise Business NG,MTN,Nigeria,PostedPosted 30+ days ago
Analyst,Sports Analyst,Betensured Services Limited,Lagos,PostedPosted 16 days ago
Analyst,Instructional Design Analyst,Phillips Consulting NG,Lagos,PostedPosted 30+ days ago
Analyst,Financial Market Analyst,TMG Consulting,Kano,PostedPosted 28 days ago
Analyst,Global Client Data Analyst,,Nigeria,PostedPosted 30+ days ago
Analyst,Project Analyst (Bid & Tender Analyst),KolCho Analytica,Lagos,PostedPosted 30+ days ago
Analyst,Analyst - Technology Compliance and Analytics.Risk and Compliance,MTN Group,Lagos,PostedPosted 30+ days ago
Analyst,Full Stack Developer,Napmantronix Limited,Nigeria,PostedPosted 13 days ago
Analyst,Global Client Data Analyst,,Nigeria,PostedPosted 30+ days ago
Analyst,Head Of Strategy,SENCE,Lagos,PostedPosted 30+ days ago
Analyst,Data Analyst,Smollan,Lagos,PostedPosted 12 days ago
Analyst,Senior Investment Analyst,Deutsche Partners Holdings,Abuja,PostedPosted 6 days ago
Analyst,Business Analyst (PMO),LEAD Enterprise Support Company Limited,Lagos,PostedPosted 26 days ago
Analyst,Financial Analyst (Madison & Park),NoemDek,Lagos,PostedPosted 30+ days ago
Analyst,Group Finance Lead,Field Intelligence,Lagos,PostedPosted 30+ days ago
Analyst,Financial Analyst,Recruitment Room,Lagos,PostedPosted 13 days ago
Analyst,IT Business Analyst,PZ Cussons UK,Lagos,PostedPosted 12 days ago
Analyst,Business Analyst/PM,Nupat Technologies,Lagos,PostedPosted 15 days ago
Analyst,Full Stack Developer,Napmantronix Limited,Nigeria,PostedPosted 13 days ago
Analyst,Data and Financial Analyst,ECSCorp & Company,Lagos,PostedPosted 19 days ago
Analyst,Technical Service Consultants: Early Warning & Early Response (Coordinator),Search for Common Ground,Abuja,PostedPosted 1 day ago
Analyst,Junior Corporate Finance Analyst,The Impeccable Skills Company,Lagos,PostedPosted 21 days ago
Analyst,Senior Business Analyst,DBH Solutions,Lagos,PostedPosted 30+ days ago
Analyst,Senior Business Analyst,DBH Solutions,Lagos,PostedPosted 30+ days ago
Analyst,Project Analyst III - Project & Portfolio Management Coyol,Boston Scientific Corporation,Cross River,PostedPosted 30+ days ago
Analyst,Full Stack Developer,Napmantronix Limited,Nigeria,PostedPosted 13 days ago
Analyst,"Analyst, Management Accountant",TETRACORE ENERGY LTD.,Lagos,PostedPosted 30+ days ago
Analyst,Junior Corporate Finance Analyst,The Impeccable Skills Company,Lagos,PostedPosted 21 days ago
Analyst,Sales Manager,NoemDek,Lagos,PostedPosted 12 days ago
Analyst,Technical Service Consultants: Early Warning & Early Response (Coordinator),Search for Common Ground,Abuja,PostedPosted 1 day ago
Analyst,Business Operations Analyst,Gatimo,Lagos,PostedPosted 15 days ago
Analyst,Group Finance Lead,Field Intelligence,Lagos,PostedPosted 30+ days ago
Analyst,IT Business Analyst,Boston Scientific Corporation,Cross River,PostedPosted 26 days ago
Analyst,Research Manager- Quantitative Research,KANTAR,Lagos,PostedPosted 10 days ago
Analyst,Risk Analyst - Vendor Risk and Compliance,OnePyramid Consulting Ltd,Nigeria,PostedPosted 27 days ago
Analyst,Finance & International Analyst,ServeLead Global,Lagos,PostedPosted 22 days ago
Analyst,Credit Control Analyst (Contract),Main One,Lagos,PostedPosted 30+ days ago
Analyst,Senior Data Scientist (Argility),DataOrbis,Zamfara,PostedPosted 30+ days ago
Analyst,Quality Assurance Analyst,ByteWorks,Lagos,PostedPosted 30+ days ago
Analyst,Data Analyst,Estrada International Staffing Solutions,Lagos,PostedPosted 16 days ago
Analyst,GTO Team Leader,Trustwave,Plateau,PostedPosted 2 days ago
Analyst,Project Manager/Software Analyst,Oatek Concept and Technologies ltd,Lagos,PostedPosted 7 days ago
Analyst,Channel Sales Executive,Cordros Capital Limited,Abuja,PostedPosted 30+ days ago
Analyst,Finance Analyst,ANGALA FINANCIAL TECHNOLOGIES LIMITED,Lagos,PostedPosted 30+ days ago
Analyst,Credit Risk Analyst,Jobberman (Third Party Recruitment),Lagos,PostedPosted 30+ days ago
Analyst,Senior Analyst,Kedari Capital,Lagos,PostedPosted 30+ days ago
Analyst,Personal Assistant,Lanister Business Consult,Nigeria,PostedPosted 14 days ago
Analyst,Financial Analyst,Global PFI,Lagos,PostedPosted 30+ days ago
Analyst,Sourcing Analyst,Gloopro,Lekki,PostedPosted 30+ days ago
Analyst,Business Intelligence Analyst,Palmpay Limited,Lagos,PostedPosted 22 days ago
Analyst,Support Analyst / Quality Assurance Engineer,Choice Talents NG,Lagos,PostedPosted 19 days ago
Analyst,Sales Order Analyst,Rotic Aluminium,Anambra,PostedPosted 30+ days ago
Analyst,IT Controls Analyst,Boston Scientific Corporation,Cross River,PostedPosted 19 days ago
Analyst,Business Intelligence Engineer,NewGlobe,Lagos,PostedPosted 20 days ago
Analyst,Finance and Business Analyst Intern (NYSC),NoemDek,Lagos,PostedPosted 7 days ago
Analyst,Business development specialist,ValueGate Consulting,Abuja,PostedPosted 30+ days ago
Analyst,IT Help Desk Analyst,Nestoil,Lagos,PostedPosted 15 days ago
Analyst,Senior Quantitative Risk Analyst at QuickCheck,Seedstars,Lagos,PostedPosted 30+ days ago
Analyst,Cyber Threat Engineer - Global Threat Operations,Trustwave,Plateau,PostedToday
Analyst,Marine Engineer II,Scruples Resources Limited,Rivers,PostedPosted 12 days ago
Analyst,Actuary Risk Analyst,AIICO Insurance,Lagos,PostedPosted 30+ days ago
Analyst,Senior Developer - Calc Team (.NET/C#),Deel,Nigeria,PostedPosted 30+ days ago
Analyst,Business Analyst (B2B e-Commerce),Coca-Cola Hellenic Bottling Company,Lagos,PostedPosted 18 days ago
Analyst,"Finance Business Analyst, DCT",Dangote Industries Limited,Nigeria,PostedPosted 30+ days ago
Analyst,Digital Marketer,Maybrands Limited,Lagos,PostedPosted 16 days ago
Analyst,Macroeconomic Strategist,Cordros Capital Limited,Lagos,PostedPosted 30+ days ago
Analyst,Data Center Service Analyst,Main One,Lagos,PostedPosted 30+ days ago
Analyst,Channels and Implementation Officer,FirstRand,Lagos,PostedPosted 7 days ago
Analyst,Supply Chain Logistics Analyst,Talent Hackers,Nigeria,PostedPosted 30+ days ago
Analyst,Data Center Service Analyst,Main One,Lagos,PostedPosted 30+ days ago
Analyst,Executive Assistant / Business Analyst,OCTO5 Holdings Limited,Lagos,PostedPosted 6 days ago
Analyst,Senior Data Analyst,MIM Finance Company,Lagos,PostedPosted 30+ days ago
Analyst,Quidax Recruitment for Market Operations Intern,Quidax,Lagos,PostedPosted 5 days ago
Analyst,Relationship Sale Officer,Browncon Group Of Companies,Abuja,PostedPosted 30+ days ago
Analyst,Finance Officer,Hope Payment Service Bank Limited,Lagos,PostedPosted 12 days ago
Analyst,Finance and Administration Officer,Alinea International,Abuja,PostedPosted 23 days ago
Analyst,"Policy Writer, Measurement And Evaluation (M&E)",NewGlobe,Lagos,PostedPosted 30+ days ago
Analyst,Application Developer,afritech multiconcepts ltd,Lagos,PostedPosted 30+ days ago
Analyst,Sr. Finance Analyst - Nigeria,Glovo,Lagos,PostedPosted 30+ days ago
Analyst,Mid Foreign Disclosure Representative,BTS Software Solutions,Kwara,PostedPosted 7 days ago
Analyst,Senior Finance Analyst,Helium Health,Lagos,PostedPosted 20 days ago
Analyst,Sr. IT Business Analysis - Coyol,Boston Scientific Corporation,Cross River,PostedPosted 30+ days ago
Analyst,SAP Support Officer (Human Resources Management),Dangote Industries Limited,Lagos,PostedPosted 30+ days ago
Analyst,Communications Senior Analyst,Helium Health,Lagos,PostedPosted 30+ days ago
Analyst,Account Based Marketing Analyst,AltexSoft,Nigeria,PostedPosted 30+ days ago
Analyst,Sr All Source Analyst (OSINT),BTS Software Solutions,Kwara,PostedPosted 15 days ago
Analyst,Channel Sales Executive - Senior Analyst,Cordros Capital Limited,Abuja,PostedPosted 30+ days ago
Analyst,Microsoft BI Developer Quality Assurance Engineer,NewGlobe,Lagos,PostedPosted 29 days ago
Analyst,Accountant,DF Consulting Limited,Lagos,PostedPosted 2 days ago
Analyst,Chief Finance Officer,Lifebank,Lagos,PostedPosted 30+ days ago
Analyst,IT Project Manager - Vendor Risk and Compliance,OnePyramid Consulting Ltd,Nigeria,PostedPosted 27 days ago
Analyst,EchoVC Analyst (Full-Time),EchoVC Partners,Nigeria,PostedPosted 18 days ago
Analyst,Senior Data Engineer,Flutterwave,Lagos,PostedPosted 4 days ago
Analyst,Lusophone Analyst - Financial Services Strategy,Genesis,Zamfara,PostedPosted 30+ days ago
Analyst,Ongoing Recruitment at Wemy Industries Limited,Wemy Industries Limited,Abuja,PostedPosted 22 days ago
Analyst,Ongoing Recruitment at OnePyramid Consulting Limited,OnePyramid Consulting Limited,Lagos,PostedPosted 21 days ago
Analyst,Treasury Manager,Wakanow,Lagos,PostedPosted 5 days ago
Analyst,Production Control,Celestica,Lagos,PostedPosted 30+ days ago
Analyst,"Compensation and Benefits Specialist (Johannesburg, South Africa or Nairobi, Kenya)",Genesis,Zamfara,PostedPosted 30+ days ago
Analyst,Managing Director/Chief Executive Officer,Winock Insurance Brokers Limited,Lagos,PostedPosted 30+ days ago
Analyst,"Architect, Principal IT COYOL",Boston Scientific Corporation,Cross River,PostedPosted 30+ days ago
Analyst,Tax Officer,Ascentech Services Limited,Lagos,PostedPosted 16 days ago
Analyst,BUSINESS ANALYST,Teamace,Jos,PostedPosted 2 days ago
Analyst,BUSINESS ANALYST,Work In Nigeria Recruitment Agency,Lagos,PostedPosted 30+ days ago
Analyst,Quality Control Analyst,Fastizers Food and Confectionery Limited,Ado Odo,EmployerActive 7 days ago
Analyst,Junior data analyst,The Concept Group,Lagos,EmployerActive 15 days ago
Analyst,Business Analyst,Software business solutions consulting,Lagos,PostedPosted 1 day ago
Analyst,Remote Data Analyst,OneHealth Limited,Lagos,EmployerActive 7 days ago
Analyst,2024 MASSIVE INTAKE,WELLNESS HEALTHCARE GROUP,Port Harcourt,EmployerActive 4 days ago
Analyst,Risk Analyst – RALA2401,DelonJobs,Lagos,EmployerActive 2 days ago
Analyst,Data Analyst,Ascentech Services Ltd,Lagos,EmployerActive 2 days ago
Analyst,Business Analyst,TechSkill UK,Lagos,EmployerActive 14 days ago
Analyst,Manufacturing Planner/Analyst,Ascentech Services Ltd,Shagamu,EmployerActive 2 days ago
Analyst,Senior Business Analyst,Software Business Solutions Consulting,Lagos,PostedPosted 1 day ago
Analyst,Financial Analyst Intern (Nigeria-Remote),Token Metrics,Nigeria,PostedPosted 30+ days ago
Analyst,Data Analyst,IPNX NIGERIA LIMITED,Lagos,EmployerActive 5 days ago
Analyst,Project and Research Analyst,Africa PPP Advisory,Abuja,EmployerActive 4 days ago
Analyst,Quality Assurance Software Tester,The Job Factors NG,Lagos,EmployerActive 3 days ago
Analyst,Business Analyst (Nigeria-Remote),Token Metrics,Nigeria,PostedPosted 30+ days ago
Analyst,Risk Management Analyst,Lead recruit,Lagos,EmployerActive 6 days ago
Analyst,Data Analyst,EON Global Telecom Ltd,Abuja,EmployerActive 6 days ago
Analyst,Sales data analyst (MIS),Omnibiz Africa,Lagos,EmployerActive 6 days ago
Analyst,Business Intelligence Analyst,TSL Metroline Limited,Lagos,EmployerActive 3 days ago
Analyst,DATA AND FINANCE ANALYST,Darway Coast Nigeria Limited,Lagos,EmployerActive 9 days ago
Analyst,Business Analyst,IPNX NIGERIA LIMITED,Lagos,EmployerActive 9 days ago
Analyst,Data Analyst,GVA Partners,Lagos,EmployerActive 2 days ago
Analyst,Investment Research Analyst,Maurice Xandra Solutions Limited,Lagos,PostedPosted 2 days ago
Analyst,"Analyst, IT NOC",IHS Towers,Abuja,PostedToday
Analyst,Sourcing/ Procurement Analyst,Paymente Ltd (t/a Gloopro),Lagos,EmployerActive 2 days ago
Analyst,Technology Operations Manager,Coronation Registrars Limited,Lagos,EmployerActive 10 days ago
Analyst,HubSpot CRM + Marketing Analyst,growthfn,Abuja,EmployerActive 2 days ago
Analyst,Customer Support Analyst,NetGuardians,Kebbi,EmployerActive 8 days ago
Analyst,Business and Pricing Analyst,Food Concept Plc,Lagos,EmployerActive 2 days ago
Analyst,REGIONAL MARKETING SPECIALIST(North East),Moniepoint,Gombe,PostedPosted 30+ days ago
Analyst,Financial Analyst,BuyPower,Abuja,PostedPosted 30+ days ago
Analyst,Employee Relations Analyst,PalmPay,Lagos,EmployerActive 2 days ago
Analyst,Risk Analyst & Underwriter,Jobrole Consulting Limited,Lekki,EmployerActive 2 days ago
Analyst,Database Administrator - Litigation Data Analyst,KIMERIC NIGERIA LIMITED,Lagos,EmployerActive 2 days ago
Analyst,"Analyst, Switching Operations",Outsource Global Technology Limited,Lagos,EmployerActive 3 days ago
Analyst,BI Integrator Data Analyst,eMedic Technologies Inc.,Lagos,EmployerActive 2 days ago
Analyst,BUSINESS ANALYSIS AND ANALYTICS INSTRUCTOR,AITECH ABUJA,Abuja,EmployerActive 21 days ago
Analyst,Head of Product,IRecruiters Africa,Lagos,EmployerActive 6 days ago
Analyst,Impact Investment Analyst,Sawubona Advisory Services,Lagos,EmployerActive 17 days ago
Analyst,Business Analyst,Leadway Pensure,Lagos,PostedPosted 30+ days ago
Analyst,Business Analyst,Halogen Group,Ikeja,EmployerActive 8 days ago
Analyst,Lead: BI & Analytics,Clickatell,Lagos,PostedPosted 23 days ago
Analyst,Financial Analyst - Oil and Gas Sector,Mudozangl Ltd,Lagos,EmployerActive 10 days ago
Analyst,JUNIOR SOC ANALYST,GVA Partners,Lagos,EmployerActive 2 days ago
Analyst,Financial Analyst at Chrysalis Advisors,lagosjobslagosjobs.NG,Lagos,EmployerActive 6 days ago
Analyst,"Quality Assurance/ Quality control Analyst (Engineers) MARYLAND,LAGOS",LEITUNG GATE LIMITED,Lagos,EmployerActive 2 days ago
Analyst,Investment and Trade Facilitation Lead,Welcome2Africa International,Abuja,EmployerActive 2 days ago
Analyst,Video Content Creator Intern (Remote),Novotern EdTech,Lagos,EmployerActive 9 days ago
Analyst,Treasury Analyst,Kimberly Ryan Limited,Lagos,EmployerActive 17 days ago
Analyst,Telecom GPON Deployment,growthfn,Lagos,EmployerActive 2 days ago
Analyst,Senior Technical Consultant,ROVEDANA LIMITED,Lagos,EmployerActive 2 days ago
Analyst,Finance Manager (Logistics Company),Irecruiters Africa,Lagos,EmployerActive 3 days ago
Analyst,Senior Chemical Analyst,Sunrise Universal Integrated,Oyo,EmployerActive 3 days ago
Analyst,"Analyst, Investment Banking",Human Resource Specialists (Nigeria),Lagos,PostedPosted 30+ days ago
Analyst,Social Media Research Analyst And Visual and Video Editor,fisconcept,Ado-Ekiti,EmployerActive 12 days ago
Analyst,Security Analyst,Leadway Pensure,Lagos,PostedPosted 30+ days ago
Analyst,Fraud Analyst,Moniepoint,Lagos,PostedPosted 30+ days ago
Analyst,Logistics Specialist I (Haulage),KIMERIC NIGERIA LIMITED,Lagos,EmployerActive 2 days ago
Analyst,Cost and Budget Manager,Food Concept Plc,Lagos,EmployerActive 2 days ago
Analyst,Analyst im Asset Management Consulting (m/w/d),RMC RISK MANAGEMENT CONSULTING GMBH,Imo,PostedPosted 8 days ago
Analyst,Business Analyst,Pivotage Consulting,Lagos,PostedPosted 30+ days ago
Analyst,"MARKETING ANALYST, SALES EXECUTIVE, DIGITAL ANALYST, SALES SUPERVISOR",Frontier commercial services limited,Ikeja,PostedJust posted
Analyst,Business Technical Documentation Analyst,Enov8 Solutions Limited,Lagos,EmployerActive 7 days ago
Analyst,"Junior Analyst, Financial Planning & Analysis",EastHORN Clinical Services,Plateau,PostedPosted 8 days ago
Analyst,Senior Data Analyst,mDoc Healthcare,Lagos,EmployerActive 2 days ago
Analyst,"Credit Risk Analyst (Accounts Receivable) - Ibadan, Lagos, Abuja",Vendease,Ibadan,PostedPosted 30+ days ago
Analyst,Budget Analyst,Food Concept Plc,Lagos,EmployerActive 2 days ago
Analyst,"Analyst, Depot Operations",IHS Towers,Lagos,PostedPosted 21 days ago
Analyst,Accounts & Finance Manager,Motomedia Reflomax Limited,Lagos,EmployerActive 17 days ago
Analyst,Head of Product &Tech Nigeria,Unlimit,Lagos,PostedPosted 30+ days ago
Analyst,Financial Analyst,Lorgarithm,Lagos,PostedPosted 20 days ago
Analyst,Business Development Executive/ Analyst,HReade Limited,Lagos,EmployerActive 2 days ago
Analyst,Data Analyst - Growth,Kuda Technologies Ltd,Lagos,EmployerActive 2 days ago
Analyst,Driver Welfare Analyst,Max Drive,Onitsha,PostedPosted 30+ days ago
