ID,Title,Company,Location,Date Posted
consultant,Strategy Consultant,Phillips Consulting NG,Lagos,PostedPosted 30+ days ago
consultant,TRAVEL CONSULTANT,Birdview Group,Nigeria,PostedPosted 30+ days ago
consultant,"Technical Service Consultants: Design, Monitoring, Evaluation & Learning (Officer)",Search for Common Ground,Nigeria,PostedPosted 5 days ago
consultant,VACANCY ANNOUNCEMENT IN WIDOWS AND ORPHANS EMPOWERMENT ORGANIZATION (WEWE) – HEALTH INFORMATICS MANAGER,WEWE,Nigeria,PostedPosted 15 days ago
consultant,Team Leader - Nigeria Health Population and Nutrition (HPN) Rapid Assessment,Navanti Group,Abuja,PostedToday
consultant,Rainforest Alliance Consultant Auditor,Preferred by Nature,Nigeria,PostedPosted 14 days ago
consultant,Media and Communications Coordinator,Save the Children,Nigeria,PostedPosted 10 days ago
consultant,Consultant - Program Engagements Consultant - Nigeria,Mercy Corps,Abuja,PostedPosted 30+ days ago
consultant,Sales Consultant Circular Economy (m/w/d),Ingram Micro,Imo,PostedPosted 30+ days ago
consultant,"Technical Director for Health Service Delivery, USAID/Nigeria/Strengthening Quality of Care through Primary Health Care",Management Sciences for Health (MSH),Abuja,PostedPosted 6 days ago
consultant,Driver,IFC Systems Corporation,Abuja,PostedToday
consultant,Programme Officer,FAO,Nigeria,PostedPosted 6 days ago
consultant,"Senior Consultant, Zero Dose Learning Agenda",McKinsey & Company,Lagos,PostedPosted 30+ days ago
consultant,"Reproductive, Maternal, Newborn, and Child Health (RMNCH) Expert",Navanti Group,Abuja,PostedToday
consultant,"Consultant, Nigeria",Boston Consulting Group,Lagos,PostedPosted 1 day ago
consultant,Health Data Management Specialist,Navanti Group,Abuja,PostedToday
consultant,"Monitoring, Evaluation, Accountability and Learning (MEAL) Advisor",International Rescue Committee,Abuja,PostedPosted 5 days ago
consultant,Technical Service Consultants: Early Warning & Early Response (Officer),Search for Common Ground,Nigeria,PostedPosted 5 days ago
consultant,Senior Accountant Nigeria,Field Intelligence,Abuja,PostedPosted 30+ days ago
consultant,Local Humanitarian Leadership and Partnership Manager,Oxfam Novib,Sokoto,PostedPosted 8 days ago
consultant,TRAVEL CONSULTANT,Birdview Group,Nigeria,PostedPosted 30+ days ago
consultant,"Admin & Procurement Specialist - Bauchi, Sokoto and Kebbi",Management Sciences for Health (MSH),Sokoto,PostedPosted 6 days ago
consultant,Billing Analyst,Trustwave,Plateau,PostedToday
consultant,Media and Communications Coordinator,Save the Children,Nigeria,PostedPosted 10 days ago
consultant,VACANCY ANNOUNCEMENT IN WIDOWS AND ORPHANS EMPOWERMENT ORGANIZATION (WEWE) – HEALTH INFORMATICS MANAGER,WEWE,Nigeria,PostedPosted 15 days ago
consultant,Junior and Mid-Level Legal Professionals,DAI,Abuja,PostedPosted 30+ days ago
consultant,VACANCY ANNOUNCEMENT IN WIDOWS AND ORPHANS EMPOWERMENT ORGANIZATION (WEWE) – GRANT MANAGER,WEWE,Nigeria,PostedPosted 15 days ago
consultant,"Senior Consultant, Zero Dose Learning Agenda",McKinsey & Company,Lagos,PostedPosted 30+ days ago
consultant,Accounts Receivable Analyst,Trustwave,Plateau,PostedPosted 2 days ago
consultant,Cyber Threat Analyst,Trustwave,Plateau,PostedPosted 9 days ago
consultant,Deputy Chief of Party (Nigeria),"John Snow, Inc. and JSI Research & Training...",Abuja,PostedPosted 18 days ago
consultant,Director of Finance and Operations,International Rescue Committee,Nigeria,PostedPosted 4 days ago
consultant,Program Quality Manager,Oxfam Novib,Sokoto,PostedPosted 9 days ago
consultant,Local Humanitarian Leadership and Partnership Manager,Oxfam Novib,Sokoto,PostedPosted 8 days ago
consultant,VACANCY ANNOUNCEMENT IN WIDOWS AND ORPHANS EMPOWERMENT ORGANIZATION (WEWE) – GRANT MANAGER,WEWE,Nigeria,PostedPosted 15 days ago
consultant,Consultant,International Medical Corps,Nigeria,PostedPosted 30+ days ago
consultant,Programme Management Consultant,Simpletin Consulting,Abuja,PostedPosted 30+ days ago
consultant,"Admin & Procurement Specialist - Bauchi, Sokoto and Kebbi",MSH,Nigeria,PostedPosted 6 days ago
consultant,IP Lawyer,Mediakraze Ltd,Nigeria,PostedPosted 7 days ago
consultant,Cyber Threat Analyst,Trustwave,Plateau,PostedPosted 9 days ago
consultant,People Transformation Senior Management Consultant,Phillips Consulting NG,Lagos,PostedPosted 30+ days ago
consultant,Senior Accountant Nigeria,Field Intelligence,Abuja,PostedPosted 30+ days ago
