ID,Title,Company,Location,Date Posted
consultant,Strategy Consultant,Phillips Consulting NG,Lagos,PostedPosted 30+ days ago
consultant,TRAVEL CONSULTANT,Birdview Group,Nigeria,PostedPosted 30+ days ago
consultant,"Technical Service Consultants: Design, Monitoring, Evaluation & Learning (Officer)",Search for Common Ground,Nigeria,PostedPosted 5 days ago
consultant,Rainforest Alliance Consultant Auditor,Preferred by Nature,Nigeria,PostedPosted 14 days ago
consultant,Consultant - Program Engagements Consultant - Nigeria,Mercy Corps,Abuja,PostedPosted 30+ days ago
consultant,Sales Consultant Circular Economy (m/w/d),Ingram Micro,Imo,PostedPosted 30+ days ago
consultant,"Senior Consultant, Zero Dose Learning Agenda",McKinsey & Company,Lagos,PostedPosted 30+ days ago
consultant,"Consultant, Nigeria",Boston Consulting Group,Lagos,PostedPosted 1 day ago
consultant,Technical Service Consultants: Early Warning & Early Response (Officer),Search for Common Ground,Nigeria,PostedPosted 5 days ago
consultant,TRAVEL CONSULTANT,Birdview Group,Nigeria,PostedPosted 30+ days ago
consultant,"Senior Consultant, Zero Dose Learning Agenda",McKinsey & Company,Lagos,PostedPosted 30+ days ago
consultant,Consultant,International Medical Corps,Nigeria,PostedPosted 30+ days ago
consultant,Programme Management Consultant,Simpletin Consulting,Abuja,PostedPosted 30+ days ago
consultant,People Transformation Senior Management Consultant,Phillips Consulting NG,Lagos,PostedPosted 30+ days ago
consultant,Lead Consultant - Orphans and Vulnerable Children (OVC) Activity Design,Navanti Group,Abuja,PostedPosted 30+ days ago
consultant,IT Support Consultant,RightXperience,Nigeria,PostedPosted 30+ days ago
consultant,International Business Development Managers/Consultants,Ryvis Pharma,Nigeria,PostedPosted 30+ days ago
consultant,IT-Consultant (w/m/d) 80-100%,p3b ag,Imo,PostedPosted 30+ days ago
consultant,Digital Transformation in the Public Sector: Strategy Consultant,Genesis,Zamfara,PostedPosted 27 days ago
consultant,Travel Consultant,Travelwaka,Lagos,PostedPosted 14 days ago
consultant,Travel Consultant,Travelwaka,Lagos,PostedPosted 14 days ago
consultant,Educational Consultant,Subtle Innovative Services Limited,Lagos,PostedPosted 13 days ago
consultant,Lead Consultant - Orphans and Vulnerable Children (OVC) Activity Design,Navanti Group,Abuja,PostedPosted 30+ days ago
consultant,PROPERTY CONSULTANT,Pruvia Integrated,Lagos,PostedToday
consultant,Travel Consultant,WASTOY INTERNATIONAL TRAVELS AND TOURS,Lagos,PostedPosted 30+ days ago
consultant,Associate Consultant,Smart Gate Realty,Lagos,PostedPosted 30 days ago
consultant,Call for Local and International Health Consultants,Palladium,Nigeria,PostedPosted 30+ days ago
consultant,Technical Service Consultants: Early Warning & Early Response (Coordinator),Search for Common Ground,Abuja,PostedPosted 1 day ago
consultant,Gynaecologist/Consultant Family Physician,Jobberman (Third Party Recruitment),Abuja,PostedPosted 30+ days ago
consultant,External Consultant - Private Sector Engagement within the Health Sector in Nigeria,RTI International,Nigeria,PostedPosted 30+ days ago
consultant,"Consultant, Change Management",Mastercard Foundation,Lagos,PostedToday
consultant,Solution Implementation Lead Consultant - Digital,Phillips Consulting NG,Lagos,PostedPosted 30+ days ago
consultant,Insurance Sales Consultant,Mango 5,Zamfara,PostedPosted 30+ days ago
consultant,Consultant Pediatrician,DEDA HOSPITAL,Abuja,PostedPosted 14 days ago
consultant,Technical Service Consultants: Capacity Building & Training (Coordinator),Search for Common Ground,Abuja,PostedPosted 1 day ago
