ID,Title,Company,Location,Date Posted
engineer,Backend Software Engineer (Node.js),TVZ Corp,Abuja,PostedPosted 6 days ago
engineer,Software Engineer,Tony Elumelu Foundation,Lagos,PostedPosted 5 days ago
engineer,Senior Backend Engineer ( Laravel) II,Recruitment Room,Lagos,PostedPosted 29 days ago
engineer,Senior QA Manual Engineer,AltexSoft,Nigeria,PostedPosted 15 days ago
engineer,Mechanical Engineer (M/F),MOTA-ENGIL,Kazaure,PostedPosted 19 days ago
engineer,"MECHANICAL ENGINEER, CONTROL ENGINEER",Shiyali Hr Services,Nigeria,PostedPosted 30+ days ago
engineer,Aircraft Engineer - Kortrijk,ExecuJet-MRO,Benue,PostedPosted 30+ days ago
engineer,Electrical Site Engineer( Real Estate),SENCE,Lagos,PostedPosted 21 days ago
engineer,Project Engineer,Main One,Nigeria,PostedPosted 30+ days ago
engineer,Service Engineer,Tetra Pak,Lagos,PostedToday
engineer,Mechanical Engineer,New Hope Agriculture & Technology Nig. Ltd.,Abeokuta,PostedToday
engineer,Electrical Engineer,Nioke Consulting,Nigeria,PostedToday
engineer,"Engineer II, Mfg",Boston Scientific Corporation,Cross River,PostedPosted 2 days ago
engineer,Mechanical Site Engineer (Real Estate),SENCE,Lagos,PostedPosted 21 days ago
engineer,"MECHANICAL SUPERVISOR, CONTROL ENGINEER",Shiyali Hr Services,Nigeria,PostedPosted 30+ days ago
engineer,"Engineer, Sr R&D",Boston Scientific Corporation,Cross River,PostedToday
engineer,Instrument & Control Engineer,APTEC Engineers Technical Services (AETS),Nigeria,PostedPosted 30+ days ago
engineer,Design Engineering,VIASTORE,Enugu,PostedPosted 30+ days ago
engineer,Ericsson Recruitment for Gen-E Graduate Engineer,Ericsson,Lagos,PostedPosted 7 days ago
engineer,Service Engineer,ABB,Lagos,PostedPosted 30+ days ago
engineer,Mechanical Maintenance Engineer,Rekrut Consulting,Lagos,PostedPosted 7 days ago
engineer,"Engineer II, Mfg",Boston Scientific Corporation,Cross River,PostedPosted 2 days ago
engineer,Quality Assurance Engineer,Stanbic IBTC Bank,Lagos,PostedPosted 7 days ago
engineer,Electrical Maintance Engineer,Rekrut Consulting,Lagos,PostedPosted 7 days ago
engineer,Backend Engineer,TBO Integrated Services Limited,Lagos,PostedPosted 16 days ago
engineer,Solar Engineer-Installer,KUZARIMAX,Nigeria,PostedPosted 21 days ago
engineer,Licensed Aircraft Engineer,Bristow,Nigeria,PostedPosted 16 days ago
engineer,Systems Engineer,Hephzibah Integrated Technologies Ltd,Abuja,PostedPosted 30+ days ago
engineer,Piping Engineer,Seflam SGL,Lagos,PostedPosted 9 days ago
engineer,IT Site Engineer,Seven Up Bottling Company,Lagos,PostedPosted 4 days ago
engineer,Backend Engineer,TBO Integrated Services Limited,Lagos,PostedPosted 16 days ago
engineer,Electrical and Electronics Engineer,Hephzibah Integrated Technologies Ltd,Abuja,PostedPosted 30+ days ago
engineer,"Assistant Engineer, Electrical",Dangote Industries Limited,Nigeria,PostedPosted 30+ days ago
engineer,"Engineer II, Mfg",Boston Scientific Corporation,Cross River,PostedPosted 2 days ago
engineer,Process Engineer,Renolit,Lagos,PostedPosted 30+ days ago
engineer,Licensed Aircraft Engineer,Bristow,Nigeria,PostedPosted 16 days ago
engineer,PHP Software Engineer - Jumia (Full Time),Jumia,Nigeria,PostedPosted 30+ days ago
engineer,Cyber Threat Engineer - Global Threat Operations,Trustwave,Plateau,PostedToday
engineer,Systems Engineer,Hephzibah Integrated Technologies Ltd,Abuja,PostedPosted 30+ days ago
engineer,Licensed Aircraft Engineer,Bristow,Nigeria,PostedPosted 16 days ago
engineer,Senior Production Engineer,SC Johnson,Lagos,PostedPosted 15 days ago
engineer,Mechanical Engineer,UNIC GROUP LTD,Abuja,PostedPosted 30+ days ago
engineer,Process Engineer,Renolit,Lagos,PostedPosted 30+ days ago
engineer,Software Engineer,GODP CONSULTING,Lagos,PostedPosted 30+ days ago
engineer,Senior Back-End Engineer (Node.js/TypeSript),Deel,Nigeria,PostedPosted 7 days ago
engineer,Electrical and Electronics Engineer,Hephzibah Integrated Technologies Ltd,Abuja,PostedPosted 30+ days ago
engineer,Instrumentation Engineer (Cement Industry),Dangote Industries Limited,Nigeria,PostedPosted 30+ days ago
engineer,Solar Installation Engineer,Technautic nigeria limited,Abeokuta,PostedPosted 1 day ago
engineer,Head Electrical Engineer H/F,SPIE,Nigeria,PostedPosted 30+ days ago
engineer,"Engineer II, QA",Boston Scientific Corporation,Cross River,PostedPosted 1 day ago
engineer,Electrical And Automation Engineer,Rekrut Consulting,Lagos,PostedPosted 7 days ago
engineer,"Assistant Engineer, Electrical",Dangote Industries Limited,Nigeria,PostedPosted 30+ days ago
engineer,Systems Engineer,Hephzibah Integrated Technologies Ltd,Abuja,PostedPosted 30+ days ago
engineer,Civil Engineer,Ol’Bharms Height School,Lagos,PostedPosted 22 days ago
engineer,Senior Project Engineer,Worley,Abeokuta,PostedPosted 1 day ago
engineer,Electrical Engineer,Romax properties Limited,Lagos,PostedPosted 30+ days ago
engineer,Mechanical Engineer (Cement Industry),Dangote Industries Limited,Nigeria,PostedPosted 30+ days ago
engineer,Electrical Engineer,New Hope Agriculture & Technology Nig. Ltd.,Abeokuta,PostedToday
engineer,"Lead Engineer - Fullstack, Software Development",NewGlobe,Lagos,PostedPosted 5 days ago
engineer,Well Engineering,Havilah Energy,Nigeria,PostedPosted 30+ days ago
engineer,Electrical Engineer (Cement Industry),Dangote Industries Limited,Nigeria,PostedPosted 30+ days ago
engineer,Support Engineer,Cobranet Limited,Lagos,PostedPosted 30+ days ago
engineer,Engineer - IP Security forensics and Incident Management.Information Technology,MTN,Nigeria,PostedPosted 5 days ago
engineer,Field Engineer,Speedcast,Nigeria,PostedPosted 30+ days ago
engineer,Software System Support Engineer,INTTECK GLOBAL SYSTEMS LTD,Lagos,PostedPosted 6 days ago
engineer,Electrical Engineer,SG HOLDINGS LIMITED,Lagos,PostedPosted 20 days ago
